,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
71,"Victor
NV",,156,162.3,0.81,,108.4,0.58,0.32,0.08,0.16,25%,14%,1/7,17,91,112,50,13,25
72,"Redgar
GMB",(+1),356,162.2,0.91,,109.9,0.60,0.34,0.07,0.07,28%,19%,7/37,22,213,234,121,25,25
73,"Mazin
FUR",,134,161.0,0.82,,106.7,0.60,0.26,0.08,0.10,32%,18%,3/17,19,81,99,35,11,13
74,"delz1k
KRÜ",(+1),317,160.6,0.80,,112.4,0.58,0.28,0.05,0.08,28%,9%,3/32,26,185,230,89,17,25
75,"vanity
C9",,236,160.1,0.78,,111.4,0.54,0.41,0.07,0.09,19%,16%,7/45,19,127,163,97,16,21
76,"Kiles
ACE",,283,157.5,0.85,,104.4,0.58,0.27,0.06,0.06,27%,13%,4/30,18,165,194,77,17,18
77,"zombs
SEN",,199,154.7,0.82,,103.3,0.54,0.39,0.04,0.07,15%,25%,6/24,17,108,131,78,7,13
78,"v1xen
VK",,91,149.2,0.68,,102.1,0.52,0.35,0.05,0.11,25%,43%,3/7,13,47,69,32,5,10
79,"Mistic
FNC",,207,145.6,0.81,,99.6,0.53,0.33,0.07,0.04,32%,6%,2/33,19,109,134,68,15,8
80,"ChAlalala
FS",,82,139.5,0.71,,90.2,0.50,0.11,0.04,0.07,31%,8%,1/13,13,41,58,9,3,6
81,"ade
CR",,76,101.8,0.46,,74.5,0.38,0.33,0.03,0.09,27%,11%,2/18,9,29,63,25,2,7
